Cykel-EF audit · 2026-08-24 · 71 cykelpas i 180 dage

Coasting-felter fundet i API: ['coasting_time']
Alle feltnavne paa foerste pas: ['analysis_issues', 'analyzed', 'athlete_max_hr', 'attachments', 'average_altitude', 'average_cadence', 'average_clouds', 'average_feels_like', 'average_heartrate', 'average_impact_loading_rate', 'average_leg_spring_stiffness', 'average_speed', 'average_stance_time', 'average_stance_time_balance', 'average_stance_time_percent', 'average_step_length', 'average_stride', 'average_temp', 'average_vertical_oscillation', 'average_vertical_ratio', 'average_vertical_speed', 'average_weather_temp', 'average_wind_gust', 'average_wind_speed', 'avg_lr_balance', 'calories', 'carbs_ingested', 'carbs_used', 'coach_tick', 'coasting_time', 'commute', 'compliance', 'crank_length', 'created', 'custom_zones', 'decoupling', 'description', 'device_name', 'device_watts', 'distance', 'elapsed_time', 'external_id', 'feel', 'file_sport_index', 'file_type', 'gap', 'gap_model', 'gap_zone_times', 'gear', 'group', 'has_heartrate', 'has_segments', 'has_weather', 'headwind_percent', 'hr_load', 'hr_load_type', 'icu_achievements', 'icu_athlete_id', 'icu_atl', 'icu_average_watts', 'icu_cadence_z2', 'icu_chat_id', 'icu_color', 'icu_cooldown_time', 'icu_ctl', 'icu_distance', 'icu_efficiency_factor', 'icu_ftp', 'icu_hr_zone_times', 'icu_hr_zones', 'icu_hrr', 'icu_ignore_hr', 'icu_ignore_power', 'icu_ignore_time', 'icu_intensity', 'icu_intervals_edited', 'icu_joules', 'icu_joules_above_ftp', 'icu_lap_count', 'icu_max_wbal_depletion', 'icu_median_time_delta', 'icu_pm_cp', 'icu_pm_ftp', 'icu_pm_ftp_secs', 'icu_pm_ftp_watts', 'icu_pm_p_max', 'icu_pm_w_prime', 'icu_power_hr', 'icu_power_hr_z2', 'icu_power_hr_z2_mins', 'icu_power_spike_threshold', 'icu_power_zones', 'icu_recording_time', 'icu_resting_hr', 'icu_rolling_cp', 'icu_rolling_ftp', 'icu_rolling_ftp_delta', 'icu_rolling_p_max', 'icu_rolling_w_prime', 'icu_rpe', 'icu_sweet_spot_max', 'icu_sweet_spot_min', 'icu_sync_date', 'icu_sync_error', 'icu_training_load', 'icu_training_load_data', 'icu_variability_index', 'icu_w_prime', 'icu_warmup_time', 'icu_weight', 'icu_weighted_avg_watts', 'icu_zone_times', 'id', 'ignore_pace', 'ignore_parts', 'ignore_velocity', 'interval_summary', 'kg_lifted', 'lengths', 'lock_intervals', 'lthr', 'max_altitude', 'max_feels_like', 'max_heartrate', 'max_rain', 'max_snow', 'max_speed', 'max_temp', 'max_weather_temp', 'min_altitude', 'min_feels_like', 'min_temp', 'min_weather_temp', 'moving_time', 'name', 'oauth_client_id', 'oauth_client_name', 'p30s_exponent', 'p_max', 'pace', 'pace_load', 'pace_load_type', 'pace_zone_times', 'pace_zones', 'paired_event_id', 'perceived_exertion', 'polarization_index', 'pool_length', 'power_field', 'power_field_names', 'power_load', 'power_meter', 'power_meter_battery', 'power_meter_serial', 'prevailing_wind_deg', 'race', 'recording_stops', 'route_id', 'session_rpe', 'skyline_chart_bytes', 'source', 'ss_cp', 'ss_p_max', 'ss_w_prime', 'start_date', 'start_date_local', 'strain_score', 'strava_id', 'stream_types', 'sub_type', 'tags', 'tailwind_percent', 'threshold_pace', 'timezone', 'tiz_order', 'total_elevation_gain', 'total_elevation_loss', 'trainer', 'trimp', 'type', 'use_elevation_correction', 'use_gap_zone_times', 'workout_shift_secs']

dato        inde   min     EF    VI  hm/km  hard%  coast%  navn
----------------------------------------------------------------------------------------------------
2026-03-04  ude     33      -     -    4.3      -    30.9  Gentofte Cykling på grusveje/ikke brolag
2026-03-05  ude     45  1.194     -    6.1    0.0    18.6  Gentofte Cykling på grusveje/ikke brolag
2026-03-08  ude     97  1.418     -    8.6    0.0    23.9  Gentofte Cykling på grusveje/ikke brolag
2026-03-12  ude     38      -     -    2.3    0.0       -  Gentofte Cykling
2026-03-15  ude    163  1.148     -    2.9    0.3    16.1  Gentofte Cykling på grusveje/ikke brolag
2026-03-22  ude    124  1.365     -    6.5    6.1    14.5  Gentofte Cykling på grusveje/ikke brolag
2026-03-25  ude     93  1.062     -   21.4    2.9    34.0  Fornalutx Cykling på vej
2026-03-30  ude    220  1.067     -   20.8   35.2    31.7  Fornalutx Cykling på vej
2026-04-07  ude    104  1.390     -    6.6    0.2    18.2  Gentofte Cykling på grusveje
2026-04-08  ude     63      -     -    4.4    0.0       -  Gentofte Cykling
2026-04-17  ude     23      -     -    3.6    0.0       -  Gentofte Cykling
2026-04-17  ude     22      -     -    3.9    0.0       -  København Cykling
2026-04-20  ude     23      -     -    3.5    0.0       -  Gentofte Cykling
2026-04-21  ude     97  1.328     -    7.7    0.6    24.4  Gentofte Cykling på grusveje
2026-04-23  ude     71      -     -    7.2    5.9       -  Gentofte Cykling
2026-04-26  ude     16      -     -   10.8    0.0       -  Gentofte Cykling
2026-04-26  ude     15      -     -    7.1    0.0       -  Lyngby Tårbæk Cykling
2026-04-27  ude     85  0.913     -   30.1    0.0    23.7  Fornalutx Cykling på vej
2026-04-28  ude    289  0.902     -   22.1    1.3    26.8  Fornalutx Cykling på vej
2026-04-30  ude    231  1.160     -   17.9   13.6    29.5  Fornalutx Cykling på vej
2026-05-02  ude    110  1.517     -    6.6    1.1    14.5  Gentofte Cykling på grusveje
2026-05-05  ude     54      -     -    6.3    0.0       -  Gentofte Cykling
2026-05-06  ude     71      -     -    5.6    0.0       -  Gentofte Cykling
2026-05-08  ude     26      -     -    5.3    0.0       -  Gentofte Cykling
2026-05-09  ude    110  1.396     -    7.2    0.0    20.2  Gentofte Cykling på grusveje
2026-05-12  ude     22      -     -    5.0    0.0       -  Gentofte Cykling
2026-05-18  ude     73  1.078     -   30.3   34.7    24.2  Fornalutx Cykling på vej
2026-05-19  ude    272  0.977     -   21.4   10.9    29.8  Fornalutx Cykling på vej
2026-05-21  ude    237  1.023     -   29.4    3.6    24.1  Fornalutx Cykling på vej
2026-05-23  ude    353  0.969     -   13.2    5.6    27.9  Fornalutx Cykling på vej
2026-05-29  ude     16      -     -    5.5    0.0       -  Gentofte Cykling
2026-05-31  INDE    63  1.496     -   13.1    5.5     0.7  Lunch Virtuel cykling
2026-06-05  ude     54      -     -    2.8    0.0       -  Gentofte Cykling
2026-06-07  INDE    30  1.524     -    9.9    0.0     0.1  Morning Virtuel cykling
2026-06-08  ude     50      -     -    3.8    0.0       -  Gentofte Cykling
2026-06-09  ude     50      -     -    6.7    0.0       -  Gentofte Cykling
2026-06-10  ude     46      -     -    7.0    0.1       -  Gentofte Cykling
2026-06-11  ude     69  1.222     -   30.0   30.3    25.9  Fornalutx - Cykel Z2 60 min Mallorca
2026-06-12  ude    225  1.157     -   18.1    2.6    29.3  Fornalutx - Cykel bjerg-intervaller Z4 M
2026-06-13  ude    352  0.975     -   19.0    0.0    27.6  Fornalutx Cykling på vej
2026-06-16  ude    448  0.991     -   20.9    0.0    24.9  Fornalutx Cykling på vej
2026-06-18  ude     95  1.087     -   20.5    0.0    34.0  Fornalutx Cykling på vej
2026-06-20  ude     42      -     -    3.2    0.0       -  Gentofte Cykling
2026-06-21  ude    173  1.123     -    4.1    0.0    14.5  Gentofte Cykling på vej
2026-06-23  ude     23      -     -    5.2    0.0       -  Gentofte Cykling
2026-06-24  ude     54      -     -    4.0    0.0       -  Ballerup Cykling
2026-06-25  ude     49      -     -    4.9    1.5       -  Gentofte Cykling
2026-06-25  ude     86  1.304     -    6.0    1.2    19.2  Gentofte - Cykel Z2 45 min
2026-06-26  ude     82  1.347     -    7.1    0.6    22.6  Gentofte Cykling på vej
2026-07-01  ude    107  1.508     -    6.7    1.4    18.0  Gentofte - Cykel Z2 75 min
2026-07-02  ude     52      -     -    3.9    0.0       -  Gentofte Cykling
2026-07-03  ude     19      -     -    7.8    0.0       -  Gentofte Cykling
2026-07-05  ude    251  1.237     -    4.7    0.0    11.4  Gentofte Cykling på vej
