LOEB-daekning gap                       35/35
LOEB-daekning pace                      35/35
LOEB-daekning average_speed             35/35
LOEB-daekning average_heartrate         35/35
LOEB-daekning total_elevation_gain      35/35
LOEB-daekning threshold_pace            26/35
LOEB-daekning icu_intensity             35/35
LOEB-daekning trainer                    1/35
LOEB-daekning race                      35/35
LOEB-daekning commute                   35/35

=== ALLE LOEB (35) — dato|min|km|hm|hm/km|avgspd|gap|HR|IF|navn
  2026-04-26     98  21.27    146    6.9   3.617 3.6255186   167   99 | Lyngby Tårbæk Løb
  2026-05-03     31   5.18     29    5.6   2.796 2.7987814   133   64 | Gentofte Løb
  2026-05-10     47   8.22     35    4.3   2.882 2.8748221   120   50 | Gentofte Løb
  2026-05-20     27   4.72    119   25.2    2.91 3.1358662   136   68 | Fornalutx Løb
  2026-05-24     60   9.82    287   29.2   2.725 3.02915   141   73 | Fornalutx Løb terræn
  2026-05-27     37   6.12    145   23.7   2.745 2.976302   146   77 | Fornalutx Løb
  2026-05-30    112  21.70    171    7.9   3.218 3.2395995   155   85 | Gentofte Løb
  2026-06-02     37   6.96     46    6.6    3.08 3.116739   145   77 | Malmo Løb
  2026-06-03     36   6.83     50    7.3   3.167 3.1852138   135   69 | Malmo Løb
  2026-06-06    109  21.70    163    7.5   3.308 3.3265603   148   86 | Gentofte Løb
  2026-06-09     45   8.68     86    9.9    3.18 3.263669   143   84 | Morning Virtuelt løb
  2026-06-10     45   8.42     22    2.7   3.138 3.1237283   139   81 | Gentofte - Løb Z2 45 min
  2026-06-15     89  13.52    318   23.5   2.527 2.7408135   138   70 | Sóller - Lang løb Z2 90 min
  2026-06-20     63  11.72     41    3.5   3.076 3.0661864   135   80 | Gentofte - Lang løb Z2 60 min
  2026-06-23     47   8.22     37    4.5   2.904 2.8992984   125   74 | Gentofte - Løb Z2 45 min
  2026-06-27     85  16.62    131    7.9   3.262 3.2855165   150   85 | Gentofte - Lang løb Z2 90 min
  2026-06-30     62  12.36     30    2.4   3.307 3.2914083   156   86 | Gentofte - Løb Z2 65 min
  2026-07-02     49   9.90     34    3.4   3.357 3.3495686   145   87 | Gentofte - Løb VO2 5×3 min Z4
  2026-07-04    121  23.36    191    8.2   3.228 3.2571158   148   85 | Gentofte - Lang løb Z2 115 min
  2026-07-10     75  14.98     75    5.0   3.314 3.310949   150   85 | Swansea - Trail langtur Z2 Wales 75 mi
  2026-07-14     51  10.09     27    2.7   3.306 3.2860796   132   85 | Gentofte - Løb VO2 5×3 min Z4
  2026-07-19     30   4.72    120   25.4    2.62 2.8214297   130   73 | Fornalutx - Løb Z1-Z2 30 min let
  2026-07-22     98  16.68    320   19.2   2.821 2.977272   141   77 | Fornalutx - Løb 16 km Z1–Z2 til fyret
  2026-07-25    109  21.40    161    7.5    3.28 3.2962456   146   85 | Gentofte - Langløb 21 km Z2
  2026-07-27     42   7.73     29    3.8   3.041 3.0343251   135   79 | Gentofte - Løb Z1 30 min let
